vcpu,ram_gb,nodes,dataset,task,target_cost,target_runtime,instance_type
4,26.0,2,buzz,polynomial_features,0.0072111793813175,49.80860662460327,n1-highmem-4
2,7.5,2,santander,standard_scaler,0.0012876546096536,22.15849232673645,n1-standard-2
2,7.5,4,creditcard,spectral_clustering,0.0086616374933984,74.52651762962341,n1-standard-2
2,8.0,5,buzz,kmeans,0.0036006573853989,35.14265036582947,e2-standard-2
2,16.0,3,santander,kmeans,0.0095951276212573,115.70385217666626,e2-highmem-2
4,16.0,3,santander,standard_scaler,0.0016994692799448,13.822442293167114,e2-standard-4
4,26.0,3,creditcard,standard_scaler,0.0018265859885215,8.41098690032959,n1-highmem-4
4,26.0,4,santander,quantile_transformer,0.020193007428858,69.73793816566467,n1-highmem-4
2,8.0,3,creditcard,kmeans,0.0011096332886338,18.05015516281128,e2-standard-2
2,8.0,4,buzz,polynomial_features,0.0056568497170766,69.0140266418457,e2-standard-2
4,26.0,5,santander,logistic_regression,0.0318137431852685,87.89675784111023,n1-highmem-4
2,1.8,5,creditcard,quantile_transformer,0.001067320209576,9.839571714401243,n1-highcpu-2
4,4.0,4,buzz,logistic_regression,0.0160481204067548,132.59987115859985,e2-highcpu-4
4,26.0,5,creditcard,logistic_regression,0.0090428196430868,24.98399901390076,n1-highmem-4
4,16.0,5,buzz,linear_regression,0.0457876211318175,223.4450807571411,e2-standard-4
